Title,Artist,Album,Length
Daylily,Movements,Feel Something,3:29
Positions,Ariana Grande,Positions,2:52
Beauty School,Deftones,Diamond Eyes,4:47
Space Bound,Eminem,Recovery,4:39
Sundress,ASAP Rocky,Sundress,2:38
I Saw Her Standing There,The Beatles,Please Please Me,2:53
Dreadnought,Sabaton,Weapons of the Modern Age,3:54
Crush,SEVENTEEN,SEVENTEEN 9th Mini Albu 'Attacca',2:48
Mystery Girl (Revamped),Housecall,Bad Perfection,2:48
Nightmare,Polyphia,Renaissance,4:06
Stuck in the Mud,Isaiah Rashad,The Sun's Tirade,7:03
Undercover,Zara Larsson,Undercover,3:27
Phone Calls,Yatta Bandz,Perfect Storm,4:39
Kilby Girl,The Backseat Lovers,When we were friends,4:22
Goldie,A$AP Rocky,LONG.LIVE.A$AP,3:12
Elevate,Drake,Scorpion ,3:04
911/Mr Lonely,Tyler the Creator,Flower Boy,4:15
7empest,TOOL,Fear Inoculum,15:45
La Dificil,Bad Bunny,YHLQMDLG,3:05
Demon HIgh,Lil Uzi Vert,N/A (is a single),3:17
Adventure of a Lifetime,Colplay,A Head full of Dreams,4:24
Scars,Baby Keem,the Melodic Blue,4:26
Aces High,Iron Maiden,Live After Death,4:40
Baby Shark,PinkFong,PinkFong Animal Songs,1:20
Ghost Town,Kanye West & PARTYNEXTDOOR,ye,4:31
PAID MY DUES,NF,CLOUDS,3:31
the moment,tame impala ,currents,4:15
Because Of You,Ne-Yo,Because Of You,4:27
Perdoname,Deorro,Perdoname,4:30
Brand new 911,Joey bada$$,2000,2:59